City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,43.63,77,32,13.4,scattered clouds
1,Richards Bay,ZA,-28.783,32.0377,63.64,71,3,3.58,clear sky
2,Hermanus,ZA,-34.4187,19.2345,58.89,78,96,5.84,overcast clouds
3,Port-Cartier,CA,50.0334,-66.8654,68.22,59,85,7.31,overcast clouds
4,Los Llanos de Aridane,ES,28.6585,-17.9182,69.12,84,20,18.41,few clouds
5,Souillac,MU,-20.5167,57.5167,70.18,83,75,13.8,light rain
6,Lagos,NG,6.5833,3.75,80.92,88,75,4.81,broken clouds
7,Busselton,AU,-33.65,115.3333,51.85,77,86,7.34,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,80.98,72,96,5.59,light rain
9,Codrington,AU,-38.2667,141.9667,43.43,86,0,15.79,clear sky
10,Necochea,AR,-38.5473,-58.7368,57.04,57,4,3.33,clear sky
11,Tasiilaq,GL,65.6145,-37.6368,59.16,78,6,5.57,clear sky
12,Castro,BR,-24.7911,-50.0119,55.67,71,72,4.47,broken clouds
13,Taoudenni,ML,22.6783,-3.9836,105.44,16,100,7.85,overcast clouds
14,Cabedelo,BR,-6.9811,-34.8339,81.27,75,5,21.72,clear sky
15,São João da Barra,BR,-21.6403,-41.0511,71.69,64,87,9.57,overcast clouds
16,Lüderitz,NA,-26.6481,15.1594,66.56,37,0,10.11,clear sky
17,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,17.27,broken clouds
18,Raudeberg,NO,61.9875,5.1352,55.0,75,20,15.77,few clouds
19,Eyl,SO,7.9803,49.8164,84.69,57,30,25.05,scattered clouds
20,Gloversville,US,43.0528,-74.3438,72.79,88,75,7.0,broken clouds
21,Sumter,US,28.7086,-82.0831,94.37,51,91,13.0,overcast clouds
22,Bozoum,CF,6.3193,16.3799,68.23,95,100,0.67,overcast clouds
23,Black River,JM,18.0264,-77.8487,84.2,63,22,21.18,light rain
24,Qaanaaq,GL,77.484,-69.3632,43.16,80,88,1.72,overcast clouds
25,Porbandar,IN,21.6422,69.6093,81.25,84,100,20.42,overcast clouds
26,Laguna,US,38.421,-121.4238,104.25,39,1,11.5,clear sky
27,Canchungo,GW,12.0672,-16.0333,82.47,89,100,7.78,light rain
28,Ushuaia,AR,-54.8,-68.3,46.06,57,0,6.91,clear sky
29,Ordzhonīkīdze,KZ,52.4411,61.7408,70.39,70,6,6.29,clear sky
30,Clyde River,CA,70.4692,-68.5914,43.03,87,90,13.8,overcast clouds
31,Virginia Beach,US,36.8529,-75.978,80.06,87,90,5.75,overcast clouds
32,Dingle,PH,10.9995,122.6711,77.43,87,100,8.32,overcast clouds
33,Mehamn,NO,71.0357,27.8492,49.91,93,90,2.3,moderate rain
34,Acandí,CO,8.5063,-77.2778,83.89,85,100,2.15,overcast clouds
35,Bredasdorp,ZA,-34.5322,20.0403,56.52,72,90,6.91,overcast clouds
36,Stornoway,GB,58.2093,-6.3865,54.93,71,90,2.3,overcast clouds
37,Velikiy Ustyug,RU,60.7644,46.3106,61.92,78,100,5.48,light rain
