City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Upernavik,GL,43.63,scattered clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
1,Richards Bay,ZA,63.64,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
2,Hermanus,ZA,58.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Port-Cartier,CA,68.22,overcast clouds,50.0334,-66.8654,Le Q'Artier
4,Los Llanos de Aridane,ES,69.12,few clouds,28.6585,-17.9182,Valle Aridane
5,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
7,Busselton,AU,51.85,overcast clouds,-33.65,115.3333,Observatory Guest House
9,Codrington,AU,43.43,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
10,Necochea,AR,57.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
11,Tasiilaq,GL,59.16,clear sky,65.6145,-37.6368,The Red House
12,Castro,BR,55.67,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
15,São João da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
16,Lüderitz,,66.56,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
18,Raudeberg,NO,55.0,few clouds,61.9875,5.1352,Nordre Silda.
20,Gloversville,US,72.79,broken clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
24,Qaanaaq,GL,43.16,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
28,Ushuaia,AR,46.06,clear sky,-54.8,-68.3,Albatros Hotel
29,Ordzhonīkīdze,KZ,70.39,clear sky,52.4411,61.7408,Tomiris
30,Clyde River,CA,43.03,overcast clouds,70.4692,-68.5914,Qamaq Hotel
33,Mehamn,NO,49.91,moderate rain,71.0357,27.8492,Mehamn Arctic Hotel AS
35,Bredasdorp,ZA,56.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
36,Stornoway,GB,54.93,overcast clouds,58.2093,-6.3865,Caladh Inn
37,Velikiy Ustyug,RU,61.92,light rain,60.7644,46.3106,Dvina
38,Saint-Joseph,RE,66.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
45,Malbork,PL,65.88,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
46,Cape Town,ZA,59.11,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
47,Nanortalik,GL,51.6,light rain,60.1432,-45.2371,Hotel Kap Farvel
48,Bereda,ES,63.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
49,Junín,AR,60.24,clear sky,-34.5838,-60.9433,Hotel Central
52,Ust'-Kulom,RU,53.44,clear sky,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
53,Ambilobe,MG,68.88,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
55,Opuwo,,63.93,clear sky,-18.0607,13.84,ABBA Guesthouse
57,Voss,NO,60.44,overcast clouds,60.623,6.4229,Fleischer's Hotel
59,Kimberley,ZA,46.09,broken clouds,-28.7323,24.7623,Welgewandel Guesthouse
60,Khorixas,,66.74,clear sky,-20.3667,14.9667,Khorixas Lodge
61,Kisangani,CD,73.35,overcast clouds,0.5167,25.2,Grand Ramela Hotel
62,Spišské Podhradie,SK,65.73,broken clouds,49.0009,20.7531,Ubytovanie u lekárky
63,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
65,Talcahuano,CL,65.88,clear sky,-36.7167,-73.1167,departamento comodo
66,Beitbridge,ZW,64.47,clear sky,-22.2167,30.0,Beitbridge Express Hotel
67,Grindavik,IS,55.56,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
68,Port Alfred,ZA,61.52,scattered clouds,-33.5906,26.891,The Halyards Hotel
69,Brummen,NL,62.82,few clouds,52.09,6.1556,Kasteel Engelenburg
70,Husavik,IS,57.11,broken clouds,66.0449,-17.3389,Bjarnabúð
71,Yar-Sale,RU,54.84,moderate rain,66.8333,70.8333,Yalemd
73,Tornio,FI,59.02,overcast clouds,65.8481,24.1466,Park Hotel Tornio
75,Segovia,ES,72.05,overcast clouds,41.1667,-4.0,Complejo de turismo Rural A Toca
