City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Florø,NO,61.5996,5.0328,48.16,87,100,0.0,overcast clouds
1,Torbay,CA,47.6666,-52.7314,63.27,83,2,5.99,clear sky
2,Methóni,GR,36.8197,21.7049,90.21,52,0,6.89,clear sky
3,Salamiyah,SY,35.0113,37.0532,77.99,47,0,5.7,clear sky
4,San Rafael del Sur,NI,11.8485,-86.4384,77.94,85,100,9.66,overcast clouds
5,Lüderitz,NA,-26.6481,15.1594,56.1,89,29,3.15,scattered clouds
6,Jamestown,US,42.097,-79.2353,65.84,68,1,5.75,clear sky
7,Saint-Joseph,RE,-21.3667,55.6167,63.21,87,96,15.14,light rain
8,Bredasdorp,ZA,-34.5322,20.0403,50.29,95,94,2.95,overcast clouds
9,Oddur,SO,4.1213,43.8894,69.69,79,94,14.97,overcast clouds
10,Ergolding,DE,48.5833,12.1667,59.41,93,100,1.01,moderate rain
11,Chicama,PE,-7.8447,-79.1469,63.14,76,1,7.05,clear sky
12,Ushuaia,AR,-54.8,-68.3,42.46,61,75,0.0,broken clouds
13,Husavik,IS,66.0449,-17.3389,51.28,85,89,1.61,overcast clouds
14,Berlevåg,NO,70.8578,29.0864,45.61,89,100,25.61,light rain
15,Waren,DE,53.5167,12.6833,57.02,86,100,4.43,overcast clouds
16,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,3.44,clear sky
17,Abnūb,EG,27.2696,31.1511,88.93,18,0,3.69,clear sky
18,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,10.36,few clouds
19,East London,ZA,-33.0153,27.9116,66.34,25,0,7.45,clear sky
20,Saint-Philippe,RE,-21.3585,55.7679,64.22,87,94,15.77,light rain
21,Upernavik,GL,72.7868,-56.1549,40.84,90,23,11.83,few clouds
22,Arlit,NE,18.7369,7.3853,96.93,18,20,7.7,few clouds
23,Yining,CN,29.0361,114.5636,87.19,68,14,5.46,few clouds
24,Ilulissat,GL,69.2167,-51.1,46.42,87,40,0.0,scattered clouds
25,Mahébourg,MU,-20.4081,57.7,65.25,69,7,11.59,clear sky
26,Portree,GB,57.4129,-6.1942,56.86,92,99,6.58,light rain
27,Ribeira Grande,PT,38.5167,-28.7,72.34,87,1,4.9,clear sky
28,Buchanan,LR,5.8808,-10.0467,75.16,81,9,5.23,clear sky
29,Iquique,CL,-20.2208,-70.1431,59.04,71,34,0.36,scattered clouds
30,Rio Grande,BR,-32.035,-52.0986,51.94,91,5,4.34,clear sky
31,Maués,BR,-3.3836,-57.7186,75.4,79,100,3.18,overcast clouds
32,Rondonópolis,BR,-16.4708,-54.6356,74.25,34,45,4.61,scattered clouds
33,Jalu,LY,29.0331,21.5482,88.09,25,0,9.42,clear sky
34,Kijabe,KE,-0.933,36.5758,54.41,89,96,5.99,overcast clouds
35,Oktyabr'skiy,RU,54.4815,53.471,69.28,51,25,3.74,scattered clouds
36,Manaure,CO,11.7751,-72.4445,81.97,78,100,3.53,overcast clouds
37,Kūd,IN,33.0833,75.2833,60.66,87,41,3.38,scattered clouds
38,Port Alfred,ZA,-33.5906,26.891,64.26,39,0,10.4,clear sky
39,Ndioum,SN,16.5129,-14.6471,83.5,68,13,16.13,few clouds
40,Esim,GH,4.8699,-2.2405,76.35,90,94,8.55,overcast clouds
41,City of San Pedro,PH,14.35,121.0167,88.32,73,100,14.52,overcast clouds
42,Kavaratti,IN,10.5669,72.642,81.95,76,100,15.73,overcast clouds
